borough,date,open,cleaned,watered,resurfaced
Ahuntsic - Cartierville,2004-01-16,18,NA,16,NA
Ahuntsic - Cartierville,2004-01-17,20,18,NA,NA
Ahuntsic - Cartierville,2004-01-18,20,18,NA,NA
Ahuntsic - Cartierville,2004-01-19,20,18,NA,NA
Ahuntsic - Cartierville,2004-01-20,20,18,NA,18
Ahuntsic - Cartierville,2004-01-21,20,18,NA,NA
Ahuntsic - Cartierville,2004-01-22,20,NA,NA,NA
Ahuntsic - Cartierville,2004-01-23,20,18,NA,18
Ahuntsic - Cartierville,2004-01-24,20,18,NA,NA
Ahuntsic - Cartierville,2004-01-25,20,18,NA,18
Ahuntsic - Cartierville,2004-01-26,20,18,NA,18
Ahuntsic - Cartierville,2004-01-27,20,18,18,NA
Ahuntsic - Cartierville,2004-01-28,20,18,NA,18
Ahuntsic - Cartierville,2004-01-29,20,NA,NA,NA
Ahuntsic - Cartierville,2004-01-30,20,18,NA,NA
Ahuntsic - Cartierville,2004-01-31,20,18,NA,18
Ahuntsic - Cartierville,2004-02-01,20,NA,NA,NA
Ahuntsic - Cartierville,2004-02-02,20,18,NA,18
Ahuntsic - Cartierville,2004-02-03,20,18,NA,NA
Ahuntsic - Cartierville,2004-02-05,20,NA,NA,NA
Ahuntsic - Cartierville,2004-02-07,20,18,NA,NA
Ahuntsic - Cartierville,2004-02-08,20,18,NA,NA
Ahuntsic - Cartierville,2004-02-09,20,18,NA,NA
Ahuntsic - Cartierville,2004-02-10,20,18,NA,18
Ahuntsic - Cartierville,2004-02-12,20,18,NA,NA
Ahuntsic - Cartierville,2004-02-13,20,18,NA,NA
Ahuntsic - Cartierville,2004-02-14,20,18,18,NA
Ahuntsic - Cartierville,2004-02-15,20,18,18,18
Ahuntsic - Cartierville,2004-02-16,20,18,NA,NA
Ahuntsic - Cartierville,2004-02-17,20,18,NA,NA
Ahuntsic - Cartierville,2004-02-18,20,18,NA,18
Ahuntsic - Cartierville,2004-02-19,20,18,NA,NA
Ahuntsic - Cartierville,2004-02-20,20,18,NA,NA
Ahuntsic - Cartierville,2004-02-21,20,18,NA,NA
